filename,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,y
0000.csv,False,False,True,5.209095847056068,9789.261511303252,30753.872047979614,0.0010104223760913672,5,13,1,9373.9840974813,0.3179203831105749,9379.193193328356,4.974085081308234,0
0001.csv,False,False,False,4.450940608035044,10552.521898824463,33151.72527419235,0.000999767963117104,3,11,1,42516.18913693302,2.2293209932179074,42520.64007754105,3.1515306050797465,0
0002.csv,False,False,True,5.396551800668827,10233.433118707931,32149.278306735323,0.0010145654764299084,6,13,1,13053213.935973885,34.25951216671357,13053219.332525687,6.236594449657612,0
0003.csv,False,False,True,4.97016301474876,10829.05674581785,34020.48511796835,0.0009929964848557266,4,8,1,1131.9081748721064,25.768713994289346,1136.878337886855,3.9680079934906947,1
0004.csv,False,False,False,5.266867969529509,10678.70368697588,33548.13705286566,0.0010094188892790599,6,11,1,3163.2563021525475,145.15435652503217,3168.523170122077,5.999781928432148,0
0005.csv,False,False,False,5.4235083125113865,8884.564535369305,27911.682674660624,0.0009849606399622306,4,9,1,680106.7094084361,0.0057264891140878064,680112.1329167486,3.974650549084176,1
0006.csv,False,False,True,4.261212183430689,9896.063558964091,31089.400576299256,0.0009940800808175283,6,11,1,6486.637413516808,0.000590994737200625,6490.898625700239,6.154283254071768,1
0007.csv,False,False,True,5.8076688206189475,9706.998431718243,30495.43496149368,0.0010043706998235852,2,8,1,32618.18848756417,130.88399601226706,32623.9961563848,2.071923271707524,0
0008.csv,False,False,True,4.778476264029852,10459.224594258847,32858.623147569284,0.000987783661910232,7,15,1,839.415400582774,0.8729169843066575,844.1938768468042,6.9081720770917965,0
0009.csv,False,False,True,4.306586330841705,11439.243623091723,35937.44372892885,0.0010045926723447904,6,12,1,1681728.9420994814,0.00026345617197210037,1681733.2486858119,6.0632188528129545,0
0010.csv,False,False,True,4.661677136908589,9955.615114329317,31276.48730514449,0.0009933596994571923,5,5,1,825.8002757554049,0.020745213222465874,830.4619528923134,4.862411629769685,1
0011.csv,False,False,True,3.508351497858383,11392.881345726168,35791.79233895352,0.0009899153253516118,4,7,1,302972.6104852688,19792.610752995704,302976.11883676663,4.015951538388474,1
0012.csv,False,False,True,4.648356649693543,9084.88932504017,28541.021562222533,0.0009828226512438492,6,9,1,96400.31152492882,8.462993243852765,96404.95988157851,5.878806809351177,1
0013.csv,False,False,False,6.604351064167751,8174.0570478606005,25679.55757158273,0.0010075388953352119,5,10,1,18152336.4361146,0.0022551466416867853,18152343.04046566,4.901317275628812,0
0014.csv,False,False,True,3.6019526115854377,9902.627452412795,31110.021655736644,0.0010228489034444603,7,8,1,1712.4409437598556,0.7607001683327732,1716.0428963714417,7.0404746935101175,0
0015.csv,True,False,True,5.279040390530262,10205.409067462084,32061.238153217542,0.0010225025092763626,8,8,1,592.1790557765994,8290.035568325546,597.4580961671296,8.207907520926398,0
0016.csv,False,False,False,4.130690935012964,8774.982467343489,27567.42045478554,0.0010031406757488332,7,12,1,187639.21216241206,0.6083886285520511,187643.34285334707,7.0333246476872056,0
0017.csv,False,False,False,6.3626516690835455,8364.405634108802,26277.555291761288,0.0009956114027192308,3,10,1,695133.7336981173,0.023577029270454058,695140.0963497864,2.7743026152553254,0
0018.csv,False,False,True,4.498542065199749,9755.71600385706,30648.485728225718,0.0010044303140036438,8,13,1,14.534474085037349,0.2853782674073889,19.033016150237085,8.002603869644696,0
0019.csv,False,False,False,5.6929005851136925,8894.920023255225,27944.215399327368,0.0009968370436565905,8,7,1,886920.0504782355,0.0004307185031964469,886925.7433788206,7.9404390357432595,1
0020.csv,False,False,False,5.5101341026517545,8850.536193993807,27804.779487381507,0.0009971047537794494,3,7,1,423032.1840008674,0.14471797810423248,423037.6941349701,3.14235445721501,1
0021.csv,True,False,True,5.788857375241277,10806.02929485992,33948.142247208016,0.0009999435536209905,1,11,1,13.275370173908849,0.016328292277989362,19.06422754915012,1.0848629672012202,0
0022.csv,False,False,True,4.22288770294419,9960.407517773692,31291.54308459838,0.0009890530197820937,7,10,1,5177581.420755836,0.004258553103696775,5177585.6436435385,7.166949461528135,1
0023.csv,False,False,False,5.076674213315386,10511.726363918227,33023.56232143165,0.0009873372682217994,5,10,1,1400.0009191120075,3.005187100221477,1405.0775933253228,5.042274951613329,1
0024.csv,False,False,False,4.427710222210501,9876.651025126579,31028.414302607765,0.000995736863273926,8,8,1,3273.7855916760705,0.02501201815650189,3278.2133018982813,8.018388623213534,1
0025.csv,False,False,True,4.3507740981896434,10129.651883450477,31823.239940470023,0.0010051862857873776,8,11,1,26322.49486683099,101.84844942443728,26326.845640929183,7.9590736204362225,0
0026.csv,False,False,True,3.6172742156625586,9115.100753013283,28635.933562397327,0.0009952688297558826,6,10,1,358.9442934550885,0.09077651105180773,362.5615676707511,6.006317503759178,0
0027.csv,False,False,False,5.008068013136967,10618.563487971747,33359.201045488844,0.001007755272297058,3,9,1,23204.055550578487,60.70283672450032,23209.063618591626,3.0184725065413662,0
0028.csv,False,False,False,5.377337034295632,10580.398499916157,33239.302199389065,0.0010024621757457784,5,17,1,1633.5550480658428,3593.12877958592,1638.9323851001386,4.985059997413905,0
0029.csv,False,False,True,4.203960983626327,11193.648700963979,35165.884525813366,0.0010057010218802026,6,14,1,1245.5479442542226,5749.895961731648,1249.7519052378489,5.944451625656121,0
0030.csv,False,False,False,4.837487346279545,10740.164056696623,33741.22049886726,0.0010039410731094052,5,7,1,656.6678350057678,58.942031373064616,661.5053223520473,5.063442230069551,1
0031.csv,False,False,False,5.424415298692673,9490.22606592937,29814.42448963007,0.001006363232839983,7,13,1,2428465.6241758037,0.0012046951007975196,2428471.048591101,6.913267322878246,0
0032.csv,False,False,False,5.09462589768642,11035.097575454187,34667.78147469342,0.0010166638325270255,5,11,1,48811.45769213069,1334.910776673946,48816.55231802838,4.920948786280441,0
0033.csv,False,False,False,6.016350168097919,9981.914977952109,31359.11076349227,0.0010161050272840604,5,11,1,1386751.93806462,10.468026285548245,1386757.954414788,5.049836752768645,0
0034.csv,False,False,True,6.507109541239295,10518.57040708973,33045.0635171801,0.0010129522566609296,4,10,1,124037.68586518518,2358.843229351686,124044.19297472642,3.9109052178523256,0
0035.csv,False,False,True,6.009281929627532,7859.3482627747935,24690.870764337003,0.0010120875821683938,7,11,1,33539501.62784113,1.1748340751028334,33539507.63712307,6.881075622066624,0
0036.csv,True,False,False,5.392340226750715,9886.963690178134,31060.812495372666,0.0009861555556222614,4,11,1,492.3789897382997,98.6758805720614,497.7713299650505,4.043305316131452,0
0037.csv,False,False,True,3.398611747823785,9705.0397780923,30489.28166965149,0.0010020216975907099,3,11,1,791.5775837273774,22697.798066137042,794.9761954752013,3.0767706863275506,1
